>PDB:1EVY_A mol:protein length:366     Glycerol-3-Phosphate Dehydrogenase
>PDB:1JRK_A mol:protein length:156     Nudix Homolog
>PDB:1JRM_A mol:protein length:104     Conserved Hypothetical Protein Mth637
>PDB:1JRO_A mol:protein length:462     Xanthine Dehydrogenase, Chain A
>PDB:1JRO_B mol:protein length:777     Xanthine Dehydrogenase, Chain B
>PDB:1JRG_A mol:protein length:361     Pectate Lyase
>PDB:1JS2_A mol:protein length:89     High-Potential Iron Protein
>PDB:1JS3_A mol:protein length:486     Dopa Decarboxylase
>PDB:1JSQ_A mol:protein length:582     Probable Transport ATP-Binding Protein Msba
>PDB:1JSS_A mol:protein length:224     Cholesterol-Regulated Start Protein 4
>PDB:1JSU_C mol:protein length:84     P27
>PDB:1JSW_A mol:protein length:478     L-Aspartate Ammonia-Lyase
>PDB:1JSX_A mol:protein length:207     Glucose-Inhibited Division Protein B
>PDB:1JSY_A mol:protein length:418     Bovine Arrestin-2 (Full Length)
>PDB:1JS1_X mol:protein length:324     Transcarbamylase
>PDB:1JSP_B mol:protein length:121     Creb-Binding Protein
>PDB:1JT0_A mol:protein length:194     Hypothetical Transcriptional Regulator In Qa
>PDB:1JT8_A mol:protein length:102     Probable Translation Initiation Factor 1A
>PDB:1JTZ_X mol:protein length:171     Tumor Necrosis Factor Ligand Superfamily Mem
>PDB:1JTG_B mol:protein length:165     Beta-Lactamase Inhibitory Protein
>PDB:1JTD_B mol:protein length:273     Beta-Lactamase Inhibitor Protein II
>PDB:1JT1_A mol:protein length:263     Fez-1, Class B3 Metallo-Beta-Lactamase
>PDB:1JU3_A mol:protein length:583     Cocaine Esterase
>PDB:1JUD_  mol:protein length:232     L-2-Haloacid Dehalogenase
>PDB:1JUO_A mol:protein length:198     Sorcin
>PDB:1JUQ_E mol:protein length:13     Cation-Dependent Mannose-6-Phosphate Receptor
>PDB:1JU2_A mol:protein length:536     Hydroxynitrile Lyase
>PDB:1JU5_A mol:protein length:109     Crk
>PDB:1JU8_A mol:protein length:37     Leginsulin
>PDB:1JUV_A mol:protein length:193     Dihydrofolate Reductase
>PDB:1JV2_A mol:protein length:957     Integrin, Alpha V
>PDB:1JV2_B mol:protein length:692     Platelet Membrane Glycoprotein Iiia Beta Sub
>PDB:1JVN_A mol:protein-het length:555     Bifunctional Histidine Biosynthesis Prot
>PDB:1JVR_  mol:protein length:137     Human T-Cell Leukemia Virus Type II Matrix P
>PDB:1JVW_A mol:protein length:167     Macrophage Infectivity Potentiator
>PDB:1JVA_A mol:protein length:475     Vma1-Derived Homing Endonuclease X10Sss
>PDB:1JVB_A mol:protein-het length:347     Nad(H)-Dependent Alcohol Dehydrogenase
>PDB:1JVF_A mol:protein length:275     Enoyl-Acp Reductase
>PDB:1JW2_A mol:protein length:72     Hemolysin Expression Modulating Protein Hha
>PDB:1JW3_A mol:protein length:140     Conserved Hypothetical Protein Mth1598
>PDB:1JW9_B mol:protein length:249     Molybdopterin Biosynthesis Moeb Protein
>PDB:1JWI_B mol:protein length:125     Platelet Aggregation Inducer
>PDB:1JWH_A mol:protein length:337     Casein Kinase II, Alpha Chain
>PDB:1JWH_C mol:protein length:215     Casein Kinase II Beta Chain
>PDB:1JWY_B mol:protein length:315     Dynamin A Gtpase Domain
>PDB:1JWQ_A mol:protein length:179     N-Acetylmuramoyl-L-Alanine Amidase Cwlv
>PDB:1JX6_A mol:protein length:342     Luxp Protein
>PDB:1JXA_A mol:protein length:608     Glucosamine 6-Phosphate Synthase
>PDB:1JXH_A mol:protein length:288     Phosphomethylpyrimidine Kinase
>PDB:1JXM_A mol:protein length:301     Postsynaptic Density Protein
>PDB:1JXQ_A mol:protein length:284     Caspase-9
>PDB:1JXC_A mol:protein length:68     Putative Trypsin Inhibitor Atti-2
>PDB:1JXZ_A mol:protein length:269     4-Chlorobenzoyl Coenzyme A Dehalogenase
>PDB:1JX7_A mol:protein-het length:117     Hypothetical Protein Ychn
>PDB:1JYO_A mol:protein length:130     Sicp
>PDB:1JYO_E mol:protein length:105     Protein Tyrosine Phosphatase Sptp
>PDB:1JY9_A mol:protein-het length:20     Dp-Tt2
>PDB:1JYC_P mol:protein length:15     15-Mer Peptide
>PDB:1JYH_A mol:protein length:157     DNA Gyrase Inhibitory Protein
>PDB:1JYK_A mol:protein-het length:254     Ctp: Phosphocholine Cytidylytransferase
>PDB:1JYT_A mol:protein length:163     Olfactory Marker Protein
>PDB:1JY4_A mol:protein-het length:35     B4Dimer
>PDB:1JYS_A mol:protein length:242     Mta/Sah Nucleosidase
>PDB:1JY5_A mol:protein length:212     Calseprrp
>PDB:1JZP_A mol:protein-het length:21     Skeletal Dihydropydrine Receptor
>PDB:1JZT_A mol:protein-het length:246     Hypothetical 27.5 Kda Protein In Spx19-G
>PDB:1JZD_A mol:protein length:220     Thiol: Disulfide Interchange Protein Dsbc
>PDB:1JZN_A mol:protein length:135     Galactose-Specific Lectin
>PDB:1JZU_A mol:protein length:157     Lipocalin Q83
>PDB:1K04_A mol:protein length:162     Focal Adhesion Kinase 1
>PDB:1K0E_A mol:protein length:453     P-Aminobenzoate Synthase Component I
>PDB:1K0K_A mol:protein length:125     Profilin
>PDB:1K0R_A mol:protein length:366     Nusa
>PDB:1K0S_A mol:protein length:151     Chemotaxis Protein Chew
>PDB:1K0V_A mol:protein length:73     Copz
>PDB:1K0H_A mol:protein length:117     Gpfii
>PDB:1K19_A mol:protein length:112     Chemosensory Protein Csp2
>PDB:1K12_A mol:protein length:158     Lectin
>PDB:1K1A_A mol:protein length:241     B-Cell Lymphoma 3-Encoded Protein
>PDB:1K1W_A mol:protein-het length:659     4-Alpha-Glucanotransferase
>PDB:1K1F_A mol:protein-het length:72     Breakpoint Cluster Region Protein
>PDB:1K1G_A mol:protein length:131     Sf1-Bo Isoform
>PDB:1K1Q_A mol:protein length:354     Dbh Protein
>PDB:1K1V_A mol:protein length:41     Mafg
>PDB:1K1D_A mol:protein-het length:460     D-Hydantoinase
>PDB:1K1Z_A mol:protein length:78     Vav
>PDB:1K2D_P mol:protein length:23     Myelin Basic Protein Peptide With 8 Residue L
>PDB:1K24_A mol:protein length:253     Outer Membrane Protein
>PDB:1K28_A mol:protein length:584     Tail-Associated Lysozyme
>PDB:1K28_D mol:protein-het length:391     Baseplate Structural Protein Gp27
>PDB:1K2A_A mol:protein length:136     Eosinophil-Derived Neurotoxin
>PDB:1K2F_A mol:protein length:190     Siah-1A Protein
>PDB:1K2Y_X mol:protein length:463     Phosphomannomutase
>PDB:1K2W_A mol:protein length:256     Sorbitol Dehydrogenase
>PDB:1K38_A mol:protein-het length:254     Beta-Lactamase Oxa-2
>PDB:1K3R_A mol:protein length:268     Conserved Protein Mt0001
>PDB:1K30_A mol:protein length:368     Glycerol-3-Phosphate Acyltransferase
>PDB:1K3E_A mol:protein length:156     Cest
>PDB:1K3I_A mol:protein-het length:656     Galactose Oxidase Precursor
>PDB:1K3K_A mol:protein length:158     Functional Anti-Apoptotic Factor Vbcl-2 Homo
>PDB:1K3S_A mol:protein-het length:113     Sige
>PDB:1K3W_A mol:protein length:262     Endonuclease Viii
>PDB:1K3Z_D mol:protein length:282     Transcription Factor Inhibitor I-Kappa-B-Bet
>PDB:1K36_A mol:protein length:46     Epiregulin
>PDB:1K42_A mol:protein length:168     Xylanase
>PDB:1K47_A mol:protein-het length:337     Phosphomevalonate Kinase
>PDB:1K49_A mol:protein length:233     3,4-Dihydroxy-2-Butanone 4-Phosphate Synthas
>PDB:1K4E_A mol:protein-het length:248     Beta-Lactamase Pse-2
>PDB:1K4J_A mol:protein length:230     Acyl-Homoserinelactone Synthase Esai
>PDB:1K4Z_A mol:protein length:159     Adenylyl Cyclase-Associated Protein
>PDB:1K4N_A mol:protein-het length:192     Protein Ec4020
>PDB:1K4U_S mol:protein length:62     Phagocyte Nadph Oxidase Subunit P67Phox
>PDB:1K4U_P mol:protein length:32     Phagocyte Nadph Oxidase Subunit P47Phox
>PDB:1K4K_A mol:protein length:213     Nicotinic Acid Mononucleotide Adenylyltransf
>PDB:1K5D_B mol:protein length:201     Ran-Specific Gtpase-Activating Protein
>PDB:1K5D_C mol:protein length:386     Ran Gtpase Activating Protein 1
>PDB:1K5J_A mol:protein length:124     Nucleoplasmin Core
>PDB:1K5K_A mol:protein length:87     Tat Protein
>PDB:1K6O_B mol:protein length:103     Serum Response Factor
>PDB:1K6Y_A mol:protein length:288     Pol Polyprotein
>PDB:1K6Z_A mol:protein-het length:141     Type III Secretion Chaperone Syce
>PDB:1K6D_A mol:protein length:220     Acetate Coa-Transferase Alpha Subunit
>PDB:1K64_A mol:protein-het length:19     Alpha-Conotoxin Ei
>PDB:1K66_A mol:protein length:149     Phytochrome Response Regulator Rcpb
>PDB:1K75_A mol:protein-het length:434     L-Histidinol Dehydrogenase
>PDB:1K78_A mol:protein length:149     Paired Box Protein Pax5
>PDB:1K7U_A mol:protein-het length:186     Agglutinin Isolectin 3
>PDB:1K7Y_A mol:protein length:577     Methionine Synthase
>PDB:1K7K_A mol:protein-het length:221     Hypothetical Protein Yggv
>PDB:1K77_A mol:protein-het length:260     Hypothetical Protein Ygbm
>PDB:1K7G_A mol:protein length:479     Secreted Protease C
>PDB:1K87_A mol:protein length:669     Proline Dehydrogenase
>PDB:1K8K_A mol:protein length:418     Actin-Like Protein 3
>PDB:1K8K_B mol:protein length:394     Actin-Like Protein 2
>PDB:1K8K_C mol:protein length:372     Arp2/3 Complex 41 Kda Subunit
>PDB:1K8K_D mol:protein length:300     Arp2/3 Complex 34 Kda Subunit
>PDB:1K8K_E mol:protein length:178     Arp2/3 Complex 21 Kda Subunit
>PDB:1K8K_F mol:protein length:168     Arp2/3 Complex 20 Kda Subunit
>PDB:1K8K_G mol:protein length:151     Arp2/3 Complex 16 Kda Subunit
>PDB:1K8M_A mol:protein length:93     E2 Component Of Branched-Chain Ahpha-Ketoacid
>PDB:1K8Q_A mol:protein length:377     Triacylglycerol Lipase, Gastric
>PDB:1K8R_B mol:protein length:110     Protein Kinase Byr2
>PDB:1K8W_A mol:protein length:327     tRNA Pseudouridine Synthase B
>PDB:1K8V_A mol:protein-het length:40     Neuropeptide F
>PDB:1K85_A mol:protein length:88     Chitinase A1
>PDB:1K8F_A mol:protein length:157     Adenylyl Cyclase-Associated Protein
>PDB:1K92_A mol:protein length:455     Argininosuccinate Synthase
>PDB:1K99_A mol:protein length:99     Upstream Binding Factor 1
>PDB:1K9O_I mol:protein length:378     Alaserpin
>PDB:1K9A_A mol:protein length:450     Carboxyl-Terminal Src Kinase
>PDB:1K9Y_A mol:protein length:357     Halotolerance Protein Hal2
>PDB:1K9X_A mol:protein length:499     M32 Carboxypeptidase
>PDB:1KA7_A mol:protein length:128     Sh2 Domain Protein 1A
>PDB:1KA8_A mol:protein length:100     Putative P4-Specific DNA Primase
>PDB:1KAF_A mol:protein length:108     Transcription Regulatory Protein Mota
>PDB:1KAG_A mol:protein length:173     Shikimate Kinase I
>PDB:1KAN_A mol:protein length:253     Kanamycin Nucleotidyltransferase (E.C. 2.7.7
>PDB:1KAQ_A mol:protein length:194     Nicotinate-Nucleotide Adenylyltransferase
>PDB:1KA9_H mol:protein length:200     Imidazole Glycerol Phosphtate Synthase
>PDB:1KB0_A mol:protein-het length:677     Quinohemoprotein Alcohol Dehydrogenase
>PDB:1KB2_A mol:protein length:110     Vitamin D3 Receptor
>PDB:1KB5_B mol:protein length:117     Kb5-C20 T-Cell Antigen Receptor
>PDB:1KB7_  mol:protein-het length:18     Kb7 Pilin, Trans
>PDB:1KBA_A mol:protein length:66     Kappa-Bungarotoxin - Chain A
>PDB:1KBE_A mol:protein length:49     Kinase Suppressor Of Ras
>PDB:1KBH_A mol:protein length:47     Nuclear Receptor Coactivator
>PDB:1KBH_B mol:protein length:59     Creb-Binding Protein
>PDB:1KBP_A mol:protein length:432     Purple Acid Phosphatase
>PDB:1KBV_A mol:protein length:327     Major Outer Membrane Protein Pan 1
>PDB:1KBU_A mol:protein length:349     Cre Recombinase
>PDB:1KBZ_A mol:protein length:299     Dtdp-Glucose Oxidoreductase
>PDB:1KB9_A mol:protein length:431     Ubiquinol-Cytochrome C Reductase Complex Cor
>PDB:1KCA_A mol:protein length:109     Repressor Protein Ci
>PDB:1KCF_A mol:protein length:258     Hypothetical 30.2 Kd Protein C25G10.02 In Ch
>PDB:1KCG_C mol:protein length:178     Ulbp3 Protein
>PDB:1KCO_A mol:protein-het length:22     E131 Zeta Peptide
>PDB:1KCP_  mol:protein-het length:28     Kappa-Conotoxin Pviia
>PDB:1KCW_  mol:protein length:1046     Ceruloplasmin
>PDB:1KCZ_A mol:protein-het length:413     Beta-Methylaspartase
>PDB:1KCX_A mol:protein length:518     Dihydropyrimidinase Related Protein-1
>PDB:1KDI_  mol:protein length:102     Plastocyanin
>PDB:1KDX_B mol:protein-het length:28     Creb
>PDB:1KDL_A mol:protein length:23     Yopd Protein
>PDB:1KDG_A mol:protein length:546     Cellobiose Dehydrogenase
>PDB:1KEA_A mol:protein length:221     Possible G-T Mismatches Repair Enzyme
>PDB:1KEO_A mol:protein length:154     Cation-Dependent Mannose-6-Phosphate Recepto
>PDB:1KEZ_A mol:protein length:300     Erythronolide Synthase
>PDB:1KEX_A mol:protein length:155     Neuropilin-1
>PDB:1KF6_A mol:protein length:602     Fumarate Reductase Flavoprotein
>PDB:1KF6_B mol:protein length:243     Fumarate Reductase Iron-Sulfur Protein
>PDB:1KF6_C mol:protein length:130     Fumarate Reductase 15 Kda Hydrophobic Protei
>PDB:1KF6_D mol:protein length:119     Fumarate Reductase 13 Kda Hydrophobic Protei
>PDB:1KFI_A mol:protein length:572     Phosphoglucomutase 1
>PDB:1KFT_A mol:protein length:78     Excinuclease Abc Subunit C
>PDB:1KFW_A mol:protein length:435     Chitinase B
>PDB:1KFP_A mol:protein-het length:19     Gomesin
>PDB:1KG0_C mol:protein length:136     Gp42 Protein
>PDB:1KGD_A mol:protein length:180     Peripheral Plasma Membrane Cask
>PDB:1KGP_A mol:protein length:329     Ribonucleotide Reductase Protein R2F
>PDB:1KGQ_A mol:protein length:274     2,3,4,5-Tetrahydropyridine-2-Carboxylate N-
>PDB:1KGS_A mol:protein-het length:225     DNA Binding Response Regulator D
>PDB:1KGZ_A mol:protein length:345     Anthranilate Phosphoribosyltransferase
>PDB:1KG1_A mol:protein length:60     Necrosis Inducing Protein 1
>PDB:1KHB_A mol:protein length:625     Phosphoenolpyruvate Carboxykinase, Cytosolic
>PDB:1KHC_A mol:protein length:147     DNA Cytosine-5 Methyltransferase 3B2
>PDB:1KHR_A mol:protein length:209     Streptogramin A Acetyltransferase
>PDB:1KHV_A mol:protein length:516     RNA-Directed RNA Polymerase
>PDB:1KHX_A mol:protein-het length:227     Smad2
>PDB:1KHY_A mol:protein-het length:148     Clpb Protein
>PDB:1KHT_A mol:protein length:192     Adenylate Kinase
>PDB:1KHI_A mol:protein length:176     Hex1
>PDB:1KI0_A mol:protein length:253     Angiostatin
>PDB:1KI1_B mol:protein length:352     Intersectin Long Form
>PDB:1KIU_B mol:protein length:279     Fimh Protein
>PDB:1KJ6_A mol:protein length:45     Beta-Defensin 3
>PDB:1KJN_A mol:protein-het length:157     Mth0777
>PDB:1KJK_A mol:protein length:64     Integrase
>PDB:1KJS_  mol:protein length:74     C5A
>PDB:1KJT_A mol:protein length:119     Gabarap
>PDB:1KJU_A mol:protein length:994     Sarcoplasmic/Endoplasmic Reticulum Calcium A
>PDB:1KJY_B mol:protein length:36     Regulator Of G-Protein Signaling 14
>PDB:1KJZ_A mol:protein length:410     Eif2Gamma
>PDB:1KKC_A mol:protein length:221     Manganese Superoxide Dismutase
>PDB:1KKD_A mol:protein length:102     Small Conductance Calcium-Activated Potassiu
>PDB:1KKE_A mol:protein length:210     Sigma 1 Protein
>PDB:1KKQ_E mol:protein length:19     Nuclear Receptor Co-Repressor 2
>PDB:1KKT_A mol:protein length:511     Mannosyl-Oligosaccharide Alpha-1,2-Mannosida
>PDB:1KKP_A mol:protein length:419     Serine Hydroxymethyltransferase
>PDB:1KK9_A mol:protein-het length:221     Probable Translation Factor Ycio
>PDB:1KKX_A mol:protein length:123     Transcription Regulatory Protein Adr6
>PDB:1KKL_H mol:protein length:100     Phosphocarrier Protein Hpr
>PDB:1KLZ_A mol:protein length:247     Orotidine 5'-Phosphate Decarboxylase
>PDB:1KL7_A mol:protein-het length:514     Threonine Synthase
>PDB:1KLA_A mol:protein length:112     Transforming Growth Factor-Beta 1
>PDB:1KLR_A mol:protein length:30     Zinc Finger Y-Chromosomal Protein
>PDB:1KLP_A mol:protein length:115     Meromycolate Extension Acyl Carrier Protein
>PDB:1KLL_A mol:protein-het length:130     Mitomycin-Binding Protein
>PDB:1KLX_A mol:protein length:138     Cysteine Rich Protein B
>PDB:1KMM_A mol:protein length:424     Histidyl-tRNA Synthetase
>PDB:1KMP_A mol:protein-het length:774     Iron(III) Dicitrate Transport Protein Fe
>PDB:1KMD_A mol:protein length:117     Vacuolar Morphogenesis Protein Vam7
>PDB:1KMX_A mol:protein length:55     Vascular Endothelial Growth Factor
>PDB:1KMI_Z mol:protein length:214     Chemotaxis Protein Chez
>PDB:1KNX_A mol:protein length:312     Probable Hpr(Ser) Kinase/Phosphatase
>PDB:1KN6_A mol:protein length:90     Prohormone Convertase 1
>PDB:1KNQ_A mol:protein length:175     Gluconate Kinase
>PDB:1KNZ_A mol:protein length:164     Nonstructural RNA-Binding Protein 34
>PDB:1KNG_A mol:protein length:156     Thiol: Disulfide Interchange Protein Cycy
>PDB:1KNV_A mol:protein length:293     Bse634I Restriction Endonuclease
>PDB:1KN0_A mol:protein length:212     Rad52
>PDB:1KN7_A mol:protein length:78     Voltage-Gated Potassium Channel Protein Kv1.4
>PDB:1KNW_A mol:protein length:425     Diaminopimelate Decarboxylase
>PDB:1KO7_A mol:protein length:314     Hpr Kinase/Phosphatase
>PDB:1KO9_A mol:protein length:345     8-Oxoguanine DNA Glycosylase
>PDB:1KOA_  mol:protein length:491     Twitchin
>PDB:1KOP_A mol:protein length:223     Carbonic Anhydrase
>PDB:1KOH_A mol:protein length:277     Tip Associating Protein
>PDB:1KON_A mol:protein length:249     Protein Yebc
>PDB:1KOL_A mol:protein length:398     Formaldehyde Dehydrogenase
>PDB:1KOZ_A mol:protein length:36     Voltage-Dependent Channel Inhibitor
>PDB:1KO6_A mol:protein length:187     Nuclear Pore Complex Protein Nup98
>PDB:1KO6_B mol:protein length:64     Nuclear Pore Complex Protein Nup98
>PDB:1KO2_A mol:protein-het length:230     Vim-2 Metallo-Beta-Lactamase
>PDB:1KOM_A mol:protein length:93     Chromosomal Protein Mc1
>PDB:1KP6_A mol:protein length:79     Toxin
>PDB:1KPI_A mol:protein length:302     Cyclopropane-Fatty-Acyl-Phospholipid Synthas
>PDB:1KPK_A mol:protein length:473     Putative Channel Transporter
>PDB:1KPP_A mol:protein length:145     Tumor Susceptibility Gene 101 Protein
>PDB:1KPS_B mol:protein length:171     Ran-Gtpase Activating Protein 1
>PDB:1KPT_A mol:protein length:105     Kp4 Toxin
>PDB:1KP0_A mol:protein-het length:402     Creatine Amidinohydrolase
>PDB:1KP5_A mol:protein-het length:246     Green Fluorescent Protein
>PDB:1KQ3_A mol:protein length:376     Glycerol Dehydrogenase
>PDB:1KQA_A mol:protein length:203     Galactoside O-Acetyltransferase
>PDB:1KQF_A mol:protein-het length:1015     Formate Dehydrogenase, Nitrate-Inducibl
>PDB:1KQF_B mol:protein length:294     Formate Dehydrogenase, Nitrate-Inducible, Ir
>PDB:1KQF_C mol:protein length:217     Formate Dehydrogenase, Nitrate-Inducible, Cy
>PDB:1KQI_A mol:protein length:38     Actx-Hi: Ob4219
>PDB:1KQQ_A mol:protein length:139     Dead Ringer Protein
>PDB:1KQV_A mol:protein length:79     Vitamin D-Dependent Calcium-Binding Protein
>PDB:1KQ1_A mol:protein length:77     Host Factor For Q Beta
>PDB:1KQE_A mol:protein-het length:25     Gramicidin A
>PDB:1KQ4_A mol:protein-het length:232     Hypothetical Protein Tm0449
>PDB:1KQ6_A mol:protein-het length:141     Neutrophil Cytosol Factor 1
>PDB:1KR7_A mol:protein length:110     Neural Globin
>PDB:1KRI_A mol:protein length:186     Vp4
>PDB:1KRQ_A mol:protein length:167     Ferritin
>PDB:1KRH_A mol:protein length:338     Benzoate 1,2-Dioxygenase Reductase
>PDB:1KS9_A mol:protein length:291     2-Dehydropantoate 2-Reductase
>PDB:1KSG_A mol:protein length:186     Arf-Like Protein 2
>PDB:1KSG_B mol:protein length:152     Retinal Rod Rhodopsin-Sensitive Cgmp 3',5'-
>PDB:1KSI_A mol:protein-het length:642     Copper Amine Oxidase
